Room,Name,Actor,Item,Logic,Status,Comment,Aloha Comment,Aloha Suggested,Final Logic?
Center 1,Center 1 - Origin Gem Core,Center_001_Zone_001.BP_Interactable_AddItem_C_1,"materials[""parts_lv6_a""]",Center02Right + WALL_DASH,Done,Need wall dash from center02,Center02Right  -> Center02UpperRight?,Center02UpperRight + WALL_DASH,Center02UpperRight + WALL_DASH
Center 1,Center 1 - Huginn,Center_001_Zone_001.EVT_ev_n_Levy_Treasure3_002,"spirits[""s5080_hawk""]","(Center01Lower | Center01LowerLeft | Center01UpperLeft | Center01LeftDoor | Center01RightDoor) 
+ (EVT_ev_s_0080_FrostAndOwl + EVT_ev_s_e6050_Master_Defeat + quest_bird)",Done,"Defeat Gilroy in center, meet tuner in Mines and have avian remains",,,"(Center01Lower | Center01LowerLeft | Center01UpperLeft | Center01LeftDoor | Center01RightDoor) 
+ EVT_ev_s_e6050_Master_Defeat + quest_bird"
Center 1,Center 1 - Gilroy,Center_001_Zone_001.EVT_ev_s_e6050_Master_Defeat,"aptitudes[""SP""]",Center01LowerLeft | Center01UpperLeft | Center01Lower | Center01RightDoor | Center01LeftDoor,Done,,,,Center01LowerLeft | Center01UpperLeft | Center01Lower | Center01RightDoor | Center01LeftDoor
Center 2,Center 2 - Mantle of Milius,Center_001_Zone_002.EVT_ev_n_Center_costume_001,"costumes[""p0030""]",Center02LowerRight + EVT_ev_s_e0030_Guard_Defeat + EVT_ev_s_e6050_Master_Defeat,Done,Defeat Gilroy in Center and save lil sis in Streets,,,Center02LowerRight + EVT_ev_s_e0030_Guard_Defeat + EVT_ev_s_e6050_Master_Defeat
Center 3,Center 3 - Charmed Fragment,Center_001_Zone_003.BP_Breakable_SpawnItem_Pod_01_C_1,"stats[""hp_up_s""]",Center03LeftDoor | Center03CenterLeftDoor,Done,,good,,Center03LeftDoor | Center03CenterLeftDoor
Center 4,Center 4 - Faintly Glowing Aegis Curio,Center_001_Zone_004.EVT_ev_n_Levy_Treasure6_002,"quests[""quest_amulet""]",(Center04Left | Center04RightDoor) + Roots02Right + quest_eye + quest_lithograph + ,Done,"Need to see Lily in Roots 2, have blighted eye and stele to get curio

EVT_ev_s_LilyEvent_Roots_002 ",unsure if Roots02Right is the right representation of the requirement,,(Center04Left | Center04RightDoor) + EVT_ev_s_LilyEvent_Roots_002 + quest_eye + quest_lithograph
Crossroad 2,Crossroad 2 - Charmed Fragment,Crossroad_001_Zone_002.BP_Interactable_AddItem_C_1,"stats[""hp_up_s""]","(Crossroad03Left + dodge + double_jump) 
| (CrossroadRight + (double_jump | WALL_DASH))",Done,,"Added a parenthesis to fix red...
CrossroadRight -> Crossroad03Right ?

high_jump from either?

Are these supposed to be Crossroad02?","Crossroad02Left + (high_jump | dodge + double_jump) 
| Crossroad02Right + (high_jump | double_jump | WALL_DASH)","Crossroad02Left + (high_jump | dodge + double_jump) 
| Crossroad02Right + (high_jump | double_jump | WALL_DASH)"
Crossroad 3,Crossroad 3 - Subterranean Laborer's Code,Crossroad_001_Zone_003.BP_Interactable_AddItem_C_1,"tips[""tip_workerscode_01""]",Crossroad03Left | Crossroad03Right,Done,,good,,Crossroad03Left | Crossroad03Right
Crossroad 5,Crossroad 5 - Aerial Jump,Crossroad_001_Zone_005.EVT_ev_s_0050_LevyMeeting,"aptitudes[""double_jump""]",Crossroad05Left | Crossroad05Right,Done,,,,Crossroad05Left | Crossroad05Right
Crossroad 5,Crossroad 5 - Dodge,Crossroad_001_Zone_005.EVT_ev_s_0050_LevyMeeting.1,"aptitudes[""dodge""]",Crossroad05Left | Crossroad05Right,Done,,,,Crossroad05Left | Crossroad05Right
